pk_Industry	Title	ID	OrderNum	Remark
1	教育系统	-1	1	
2	司法系统	-1	2	
5	检察系统	-1	3	
6	法院系统	-1	4	
7	部队系统	-1	5	
8	交通系统	-1	6	
11	卫健系统	-1	7	
12	公安系统	-1	8	
13	民政系统	-1	9	
14	税务系统	-1	10	
15	消防系统	-1	11	
16	企事业单位	-1	12	
17	政府机关单位	-1	13	
18	政法系统	-1	14	
736	社区服务	-1	15	
737	教师	-1	16	
738	未知	-1	17	



pk_Item	fk_Industry	Title	ID	OrderNum	Remark
2	1	小学	-1	1	
5	1	高中	-1	3	
6	1	初中	-1	2	
7	2	监狱	1	1	
8	2	戒毒	-1	2	
12	1	中职	-1	4	（含中专技校）
13	1	高职	-1	5	
14	1	高校	-1	6	
15	1	特教学校	-1	7	
16	1	幼儿园	-1	9	
17	1	教师进修学校	-1	8	
18	1	教育局	-1	10	
19	1	青少年活动中心	-1	11	
20	1	校外辅导站	-1	12	
21	2	社区矫正	-1	3	
22	5	检察院	-1	1	
23	6	法院	-1	1	
24	7	空军	-1	1	
25	7	海军	-1	2	
26	7	陆军	-1	3	
27	7	武警	-1	4	
28	7	火箭军	-1	6	
29	7	第二炮兵	-1	6	
30	8	高铁	-1	1	
31	8	地铁	-1	2	
32	8	公交	-1	3	
33	8	汽车站	-1	4	
34	8	航空	-1	5	
41	11	医院	-1	1	
42	11	精神病院	-1	2	
43	11	社区医务室	-1	3	
44	12	公安局	-1	2	
45	12	警校	-1	1	
46	13	街道	-1	6	
48	13	镇政府	-1	5	
49	13	村委会	-1	4	
50	13	救助站	-1	3	
51	13	福利院	-1	2	
52	13	民政局	-1	1	
53	14	税务局	-1	1	
54	15	消防	-1	1	
55	16	企业	-1	1	
56	16	工会	-1	2	
57	16	银行	-1	3	
58	16	园区	-1	4	
59	17	文明办	-1	1	
60	17	综治办	-1	2	
61	17	党校	-1	3	
62	17	信访办	-1	4	
63	18	政法委	-1	1	
65	12	看守所	-1	3	
66	12	拘留所	-1	4	
68	2	司法系统	-1	0	
69	5	检察系统	-1	0	
70	12	公安系统	-1	0	
71	6	法院系统	-1	0	
72	1	教育系统	-1	0	
73	7	部队系统	-1	0	
74	8	交通系统	-1	0	
75	11	卫健系统	-1	0	
76	13	民政系统	-1	0	
77	14	税务系统	-1	0	
78	15	消防系统	-1	0	
79	16	企事业单位	-1	0	
80	17	政府机关单位	-1	0	
81	18	政法系统	-1	0	
796	736	社区服务	-1	0	
797	737	教师	-1	0	
798	1	职教中心	-1	13	
799	1	未成年人辅导中心	-1	14	
800	13	残联	-1	7	
801	13	妇联	-1	8	
802	13	社居委	-1	9	
803	13	共青团团委	-1	10	
804	16	疾控中心	-1	5	
805	738	未知	-1	0	
